mp_id,given_name,family_name,name,photo_url,list,attendance,possible,in_parliament,účasť
975,Milan,Mazurek,Milan Mazurek,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=975&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,5271,6151,True,86
919,Martin,Beluský,Martin Beluský,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=919&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4795,6153,True,78
1059,Magdaléna,Sulanová,Magdaléna Sulanová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1059&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,5107,6142,True,83
1027,Marek,Kotleba,Marek Kotleba,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1027&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4211,6150,True,68
1072,Tomáš,Taraba,Tomáš Taraba,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1072&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,3605,6151,True,59
1073,Miroslav,Urban,Miroslav Urban,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1073&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4457,6150,True,72
1112,Slavěna,Vorobelová,Slavěna Vorobelová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1112&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,2598,2737,True,95
1007,Ondrej,Ďurica,Ondrej Ďurica,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1007&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,5130,6148,True,83
1064,Jozef,Šimko,Jozef Šimko,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1064&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4534,6145,True,74
1083,Miroslav,Suja,Miroslav Suja,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1083&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4598,6138,True,75
945,Rastislav,Schlosár,Rastislav Schlosár,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=945&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4457,6132,True,73
952,Andrej,Medvecký,Andrej Medvecký,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=952&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,3485,6140,True,57
954,Stanislav,Mizík,Stanislav Mizík,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=954&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4270,6145,True,69
955,Peter,Krupa,Peter Krupa,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=955&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4535,6150,True,74
1034,Filip,Kuffa,Filip Kuffa,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1034&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,4020,6153,True,65
858,Štefan,Kuffa,Štefan Kuffa,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=858&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,3830,6127,True,63
944,Marian,Kotleba,Marian Kotleba,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=944&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,1873,3403,False,55
1024,Eduard,Kočiš,Eduard Kočiš,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1024&ImageWidth=140,Kotlebovci - Ľudová strana Naše Slovensko,5421,6148,True,88
1032,Juraj,Krúpa,Juraj Krúpa,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1032&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5574,6145,True,91
1031,Ján,Krošlák,Ján Krošlák,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1031&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5066,6153,True,82
1030,Peter,Kremský,Peter Kremský,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1030&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5161,6147,True,84
1033,Karol,Kučera,Karol Kučera,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1033&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5811,6135,True,95
1028,Monika,Kozelová,Monika Kozelová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1028&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5788,6149,True,94
1035,Milan,Kuriak,Milan Kuriak,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1035&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5435,6149,True,88
1014,Ján,Herák,Ján Herák,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1014&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1416,1893,False,75
1020,Monika,Kavecká,Monika Kavecká,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1020&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5746,6153,True,93
1016,Igor,Hus,Igor Hus,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1016&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5731,6149,True,93
1036,Lukáš,Kyselica,Lukáš Kyselica,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1036&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5353,5758,True,93
1011,Róbert,Halák,Róbert Halák,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1011&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5702,6131,True,93
1006,Dominik,Drdul,Dominik Drdul,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1006&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5106,6146,True,83
1005,Lucia,Drábiková,Lucia Drábiková,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1005&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5690,6136,True,93
1004,Peter,Dobeš,Peter Dobeš,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1004&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5905,6140,True,96
1003,Martin,Čepček,Martin Čepček,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1003&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",4796,6110,True,78
1000,Jozef,Bubnár,Jozef Bubnár,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1000&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1662,2107,False,79
999,Martina,Brisudová,Martina Brisudová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=999&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5493,6139,True,89
1021,Ján,Kerekréti,Ján Kerekréti,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1021&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",4309,6145,True,70
1038,Peter,Liba,Peter Liba,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1038&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5184,6146,True,84
22,Ján,Budaj,Ján Budaj,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=22&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",537,579,True,93
1043,Anna,Mierna,Anna Mierna,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1043&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",5720,6145,True,93
1106,Rastislav,Jílek,Rastislav Jílek,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1106&ImageWidth=140,"OĽANO, NOVA, KÚ, ZMENA ZDOLA",1966,2037,False,97
